post	target	implied_statement
the democratic base does not want a white  especially a white man  to represent them .	Democrats	Democrats are anti-white
the democratic base does not want a white  especially a white man  to represent them .	democrats	Democrats don't like white people.
these people are so evil that they even kill fellow muslims .	Muslims	Muslims are killers.
these people are so evil that they even kill fellow muslims .	Muslims	Muslims murder their own kind.
then get out here and procreate like rabbits  cuz so far your kind aren't . whites are now flirting with < 0 rate .	Whites	Whites are going to be minority
then get out here and procreate like rabbits  cuz so far your kind aren't . whites are now flirting with < 0 rate .	Whites	Whites are impotent.
funny  even ironic pic since she would have recommended bo's momma have an abortion . pregs to a drunken black man ...	Black people	Black people are irresponsible
funny  even ironic pic since she would have recommended bo's momma have an abortion . pregs to a drunken black man ...	Blacks	Blacks are irresponsible addicts.
we can keep pushing american nationalism our direction because we are  in fact  americans . we are the p	Minorities	Minorities are second class citizens.
we can keep pushing american nationalism our direction because we are  in fact  americans . we are the p	non-white people	non-white people are not real Americans
some in the black lives matter movement have shown extreme hatred for whites and have pitched for separate states for blacks .	Blacks	Blacks are anti-white
some in the black lives matter movement have shown extreme hatred for whites and have pitched for separate states for blacks .	Black Lives Matter supporters	Black Lives Matter supporters hate white people.
blacks attack  kill  rape white sa farmers and create food shortages cause they can't do the farming .	Black people	Black people are violent rapists towards white people
blacks attack  kill  rape white sa farmers and create food shortages cause they can't do the farming .	blacks	blacks are violent and unskilled
kkk alive and well white brother hood unite ku klux klan	Minorities	Minorities are substandard races.
kkk alive and well white brother hood unite ku klux klan	non-white people	non-white people are inferior
maybe.after all the white folks are bred out .	Minorities	Minorities want to destroy white culture.
"  "" : the future of europe belongs to you  white man ! via "" "" ; so few :( """	white people	White people belong in Europe.
"  "" : the future of europe belongs to you  white man ! via "" "" ; so few :( """	White people	White people owns Europe
" rt #antiwhite be like  "" white people in a group = holocaust """	Minorities	Minorities are dishonest
" rt #antiwhite be like  "" white people in a group = holocaust """	white people	White people should die.
whats with those white cucks in there ? pathetic ...	Conservative males	Conservative males are weak and effeminate
whats with those white cucks in there ? pathetic ...	white people	White people are stupid.
you're clearly an anti-white bigot .	Minorities	Minorities hate whites
you're clearly an anti-white bigot .	non-whites	Non-whites are bigots.
